US_title,last_,max_,_min,_stdev
J4151,0.1033,0.1501,0.0,0.013193
J4502,0.0262,0.1501,0.0,0.003707
J4503,0.0303,0.1501,-0.0012,0.009864
J4506,0.1694,0.1694,-0.0012,0.012508
J4507,-0.0092,0.1694,-0.0186,0.009811
J4519,-0.0352,0.1694,-0.0493,0.007101
J4523,0.0093,0.1694,-0.0493,0.00795
J4568,-0.062,0.1694,-0.0721,0.006396
J4578,0.0118,0.1694,-0.0721,0.00511
J3105,0.0425,0.1694,-0.0721,0.01399
J6479,0.022,0.1694,-0.0721,0.006978
J6501,0.0252,0.1694,-0.0721,0.01444
J6503,0.0006,0.1694,-0.0721,0.01326
J6504,0.0888,0.1694,-0.0721,0.020396
J6506,-0.021,0.1694,-0.0721,0.013245
J6645,-0.0094,0.1694,-0.0721,0.00936
J6674,0.0247,0.1694,-0.0721,0.022785
J6701,0.1002,0.1694,-0.0721,0.045338
J6702,-0.0369,0.1694,-0.0721,0.011084
J6703,0.0226,0.1694,-0.0721,0.005025
J6724,0.0935,0.1694,-0.0721,0.008546
J6752,-0.0476,0.1694,-0.089,0.012528
J6758,-0.0014,0.1694,-0.089,0.017141
J6762,-0.0734,0.1694,-0.1219,0.023873
J6770,-0.0763,0.1694,-0.1219,0.023098
J6841,0.0292,0.1694,-0.1219,0.013559
J6857,-0.034,0.1694,-0.1219,0.019451
J6902,0.0532,0.1694,-0.1219,0.026444
J6952,0.112,0.1694,-0.1219,0.034287
J6954,0.0369,0.1694,-0.1219,0.009089
J6971,-0.0252,0.1694,-0.1219,0.005692
J6976,0.0132,0.1694,-0.1219,0.010463
J7735,0.0321,0.1694,-0.1219,0.023105
J7751,0.0639,0.1694,-0.1219,0.009835
J7752,0.0867,0.1694,-0.1219,0.014612
J8035,-0.0542,0.1694,-0.1219,0.009771
J7201,-0.0018,0.1694,-0.1219,0.014365
J7202,0.1085,0.1694,-0.1219,0.027771
J7203,-0.0268,0.1694,-0.1219,0.008409
J7205,0.0227,0.1694,-0.1219,0.020339
J7211,0.0422,0.1694,-0.1219,0.016091
J7261,0.0,0.1694,-0.1219,0.011997
J7267,-0.0151,0.1694,-0.1219,0.004932
J7269,-0.0355,0.1694,-0.1219,0.011848
J7270,-0.0078,0.1694,-0.1219,0.004003
J7272,0.1107,0.1694,-0.1219,0.019049
J4543,0.0051,0.1694,-0.1219,0.008567
J4902,0.1229,0.1694,-0.1219,0.01854
J7731,0.0443,0.1694,-0.1219,0.016502
J7733,-0.0781,0.1694,-0.1219,0.008679
J7762,0.0619,0.1694,-0.1219,0.011829
J9412,-0.0191,0.1694,-0.1219,0.009286
J9432,-0.0219,0.1694,-0.1219,0.004003
J9433,-0.0305,0.1694,-0.1219,0.01043
J9437,0.0,0.1694,-0.1219,0.0
