js_title,last_,max_,_min,_stdev
J3880,-0.0143,0.0832,-0.0209,0.006517
J4519,0.0691,0.1817,-0.0209,0.009849
J4568,0.0459,0.1817,-0.0209,0.007238
J4578,0.0161,0.1817,-0.0458,0.009839
J3941,0.0301,0.1817,-0.0458,0.014344
J6754,0.2096,0.2171,-0.0458,0.016435
J8111,-0.0603,0.2171,-0.1309,0.019586
J4523,0.0912,0.2171,-0.1309,0.013612
J3107,-0.0045,0.2171,-0.1309,0.010203
J7974,-0.0319,0.2171,-0.1309,0.00841
J7518,0.0261,0.2171,-0.1309,0.016227
J5857,0.1924,0.2362,-0.1309,0.019104
J8356,-0.0277,0.2362,-0.1309,0.006593
J8524,-0.0491,0.2362,-0.1309,0.008317
J9783,0.0159,0.2362,-0.1309,0.008903
J3141,-0.0681,0.2362,-0.1309,0.007282
J4768,0.0185,0.2362,-0.1309,0.026706
J1973,0.0768,0.2362,-0.1309,0.007584
J8056,0.0101,0.2362,-0.1309,0.006123
J9697,0.1062,0.2362,-0.1309,0.022858
J4528,0.0164,0.2362,-0.1309,0.021385
J3148,-0.0864,0.2362,-0.1309,0.004459
J8934,-0.01,0.2362,-0.1309,0.003276
J1949,0.0543,0.2362,-0.1309,0.015547
J9787,0.0274,0.2362,-0.1309,0.009645
J9792,0.0,0.2362,-0.1309,0.0
J6376,0.0319,0.2362,-0.1309,0.006492
J1946,-0.0503,0.2362,-0.1309,0.011037
J7532,0.0293,0.2362,-0.1309,0.01571
J3254,-0.1548,0.2362,-0.1644,0.007312
J7224,0.0428,0.2362,-0.1644,0.00909
J9987,0.0709,0.2362,-0.1644,0.007383
J8358,-0.0623,0.2362,-0.1644,0.006493
J2281,0.0155,0.2362,-0.1644,0.01699
J3626,0.0891,0.2362,-0.1644,0.009106
J7419,0.0092,0.2362,-0.1644,0.005701
J3349,-0.0299,0.2362,-0.1644,0.00441
J2811,-0.0841,0.2362,-0.1644,0.005903
J3003,0.0178,0.2362,-0.1644,0.007204
J8923,-0.114,0.2362,-0.1644,0.016121
J3635,0.0554,0.2362,-0.1644,0.029777
J4307,0.0041,0.2362,-0.1644,0.023483
J9749,0.0811,0.2362,-0.1644,0.03154
J4088,-0.035,0.2362,-0.1644,0.005915
J4739,-0.0133,0.2362,-0.1644,0.006493
J9449,0.0797,0.2362,-0.1644,0.011664
J8424,0.0897,0.2362,-0.1644,0.006035
J3549,-0.0536,0.2362,-0.1644,0.006819
J1942,0.0616,0.2362,-0.1644,0.007919
J7649,0.0361,0.2362,-0.1644,0.010046
J8584,0.0551,0.2362,-0.1644,0.004442
J3064,0.0206,0.2362,-0.1644,0.013466
J6028,-0.0496,0.2362,-0.1644,0.022247
J8905,0.0197,0.2362,-0.1644,0.006994
J8425,0.0606,0.2362,-0.1644,0.003274
J8593,0.078,0.2362,-0.1644,0.012785
J9934,-0.0207,0.2362,-0.1644,0.004161
J4921,-0.0481,0.2362,-0.1644,0.012185
J2331,-0.0133,0.2362,-0.1644,0.005229
J4684,-0.0277,0.2362,-0.1644,0.010547
J2127,-0.0791,0.2362,-0.197,0.015906
J8439,0.1289,0.2362,-0.197,0.016616
J9435,-0.0918,0.2362,-0.197,0.012345
J2264,0.0216,0.2362,-0.197,0.007987
J1893,0.0149,0.2362,-0.197,0.010976
J9086,0.0198,0.2362,-0.197,0.009523
J8194,-0.0611,0.2362,-0.197,0.012631
J6370,0.1242,0.2362,-0.197,0.004679
J7912,-0.0075,0.2362,-0.197,0.004945
J8804,0.0049,0.2362,-0.197,0.007283
J2702,0.0039,0.2362,-0.197,0.001265
J2327,0.0732,0.2362,-0.197,0.016631
J8892,-0.0876,0.2362,-0.197,0.006282
J1944,0.044,0.2362,-0.197,0.007807
J2413,0.0253,0.2362,-0.197,0.033822
J6750,-0.0376,0.2362,-0.197,0.008299
J7947,-0.0369,0.2362,-0.197,0.005514
J6005,0.1146,0.2362,-0.197,0.013402
J7550,0.0768,0.2362,-0.197,0.016443
J8279,-0.0568,0.2362,-0.197,0.008714
J4527,0.0246,0.2362,-0.197,0.00592
J1721,0.0081,0.2362,-0.197,0.010863
J9719,-0.0154,0.2362,-0.197,0.013838
J1414,-0.0704,0.2362,-0.197,0.01
J1979,0.047,0.2362,-0.197,0.009654
J4751,0.079,0.2362,-0.197,0.010947
J4321,-0.0013,0.2362,-0.197,0.000861
J3244,-0.0637,0.2362,-0.197,0.008438
J9956,-0.0653,0.2362,-0.197,0.009617
J3167,-0.0325,0.2362,-0.197,0.006429
J6361,0.1004,0.2362,-0.197,0.004922
J2371,0.0996,0.2362,-0.197,0.0264
J8096,-0.0281,0.2362,-0.197,0.007877
J5929,0.0008,0.2362,-0.197,0.010978
J2810,0.0,0.2362,-0.197,0.011434
J8341,-0.0464,0.2362,-0.197,0.008629
J8133,0.0128,0.2362,-0.197,0.006088
J8368,-0.0332,0.2362,-0.197,0.009167
J9436,0.0696,0.2362,-0.197,0.010064
J3391,-0.0436,0.2362,-0.197,0.00673
J3288,0.1091,0.2362,-0.197,0.014267
J9143,0.0111,0.2362,-0.197,0.007846
J9869,0.0072,0.2362,-0.197,0.00511
J9843,-0.0064,0.2362,-0.197,0.007299
J6436,0.0032,0.2362,-0.197,0.013104
J7459,0.0566,0.2362,-0.197,0.008502
J2784,0.0818,0.2362,-0.197,0.006634
J8830,-0.0252,0.2362,-0.197,0.007392
J1417,0.0077,0.2362,-0.197,0.006552
J9364,0.0005,0.2362,-0.197,0.006074
J6976,0.3219,0.3369,-0.197,0.01713
J2337,-0.0611,0.3369,-0.197,0.012125
J9075,-0.0561,0.3369,-0.197,0.005135
J9069,-0.0484,0.3369,-0.197,0.008608
J8802,0.0245,0.3369,-0.197,0.008914
J4911,-0.02,0.3369,-0.197,0.015027
J4023,-0.0767,0.3369,-0.197,0.010753
J6960,0.0405,0.3369,-0.197,0.007925
J2201,0.0497,0.3369,-0.197,0.021932
J4516,0.0821,0.3369,-0.197,0.013754
J8850,-0.0554,0.3369,-0.197,0.005895
J2269,-0.0192,0.3369,-0.197,0.00734
J9072,0.0173,0.3369,-0.197,0.002747
J3088,-0.0519,0.3369,-0.197,0.007847
J4021,-0.0227,0.3369,-0.197,0.009476
J1969,0.0617,0.3369,-0.197,0.007613
J4555,0.0192,0.3369,-0.197,0.005473
J2801,0.1116,0.3369,-0.197,0.004733
J7309,0.0961,0.3369,-0.197,0.009559
J3231,-0.0249,0.3369,-0.197,0.006181
J1803,0.0416,0.3369,-0.197,0.007943
J8935,0.0398,0.3369,-0.197,0.012146
J3382,0.1131,0.3369,-0.197,0.01403
J6849,-0.1004,0.3369,-0.197,0.013813
J6141,0.0415,0.3369,-0.197,0.012024
J6841,0.1624,0.3369,-0.197,0.009428
J9065,0.0219,0.3369,-0.197,0.007193
J2427,-0.0508,0.3369,-0.197,0.012579
J2229,0.0173,0.3369,-0.197,0.011538
J8331,0.0035,0.3369,-0.197,0.008437
J1925,0.0033,0.3369,-0.197,0.00535
J9744,0.0287,0.3369,-0.197,0.010624
J4816,0.3504,0.3555,-0.197,0.044395
J9681,-0.0008,0.3555,-0.197,0.000732
J6845,0.0338,0.3555,-0.197,0.020479
J1860,0.1209,0.3555,-0.197,0.013724
J7250,0.0198,0.3555,-0.197,0.010154
