US_title,last_,max_,_min,_stdev
MSFT,0.0464,0.0562,0.0,0.014614
AAPL,-0.0582,0.0562,-0.088,0.013413
AMZN,0.0142,0.0562,-0.088,0.014649
FB,-0.0538,0.0562,-0.088,0.011228
GOOGL,0.0013,0.0562,-0.088,0.016476
GOOG,0.0022,0.0562,-0.088,0.015981
JNJ,-0.0181,0.0562,-0.088,0.013507
BRK_B,-0.0168,0.0562,-0.088,0.004619
V,-0.0137,0.0562,-0.088,0.010026
JPM,-0.0169,0.0562,-0.088,0.005858
PG,-0.0243,0.0562,-0.088,0.005106
UNH,-0.0351,0.0562,-0.088,0.006079
MA,-0.0223,0.0562,-0.088,0.009752
HD,-0.0539,0.0562,-0.088,0.011754
INTC,0.0262,0.0562,-0.088,0.009725
VZ,-0.0685,0.0562,-0.088,0.004953
NVDA,-0.0313,0.0562,-0.088,0.006994
T,-0.0131,0.0562,-0.088,0.004224
DIS,-0.0051,0.0562,-0.088,0.010091
BAC,-0.0388,0.0562,-0.088,0.008236
XOM,-0.0441,0.0562,-0.088,0.011163
ADBE,-0.0055,0.0562,-0.088,0.011426
CSCO,0.01,0.0562,-0.088,0.007881
MRK,-0.044,0.0562,-0.088,0.005058
NFLX,-0.028,0.0562,-0.088,0.006741
PYPL,-0.0224,0.0562,-0.088,0.013561
PFE,-0.0384,0.0562,-0.088,0.005589
PEP,-0.0216,0.0562,-0.088,0.006739
CMCSA,0.0237,0.0668,-0.088,0.013731
KO,-0.0045,0.0668,-0.088,0.006407
CVX,-0.0466,0.0668,-0.088,0.014413
WMT,-0.0462,0.0668,-0.088,0.009755
ABBV,-0.0712,0.0668,-0.088,0.007143
CRM,0.0133,0.0668,-0.088,0.006723
ABT,0.0703,0.0872,-0.088,0.009946
MCD,-0.0255,0.0872,-0.088,0.003724
TMO,-0.0008,0.0872,-0.088,0.014963
COST,-0.0279,0.0872,-0.088,0.005908
AMGN,-0.0617,0.0872,-0.088,0.009148
BMY,-0.0379,0.0872,-0.088,0.007235
ACN,-0.0168,0.0872,-0.088,0.010687
MDT,-0.0429,0.0872,-0.088,0.010785
NKE,-0.0131,0.0872,-0.088,0.005313
NEE,-0.06,0.0872,-0.088,0.007877
AVGO,0.0045,0.0872,-0.088,0.01399
LLY,-0.0369,0.0872,-0.088,0.012089
UNP,-0.0373,0.0872,-0.088,0.006093
AMT,0.0306,0.0872,-0.088,0.013393
TXN,-0.006,0.0872,-0.088,0.013566
C,-0.0358,0.0872,-0.088,0.014788
ORCL,0.0141,0.0872,-0.088,0.008847
PM,-0.0258,0.0872,-0.088,0.011467
LIN,-0.009,0.0872,-0.088,0.007282
WFC,-0.0701,0.0872,-0.088,0.01282
DHR,0.0186,0.0872,-0.088,0.020023
IBM,0.0164,0.0872,-0.088,0.004824
HON,-0.0302,0.0872,-0.088,0.012662
BA,-0.0381,0.0872,-0.088,0.007901
QCOM,-0.0181,0.0872,-0.088,0.013409
RTX,0.0097,0.0872,-0.088,0.008096
LOW,-0.0619,0.0872,-0.088,0.020146
GILD,-0.0384,0.0872,-0.088,0.005329
LMT,-0.0573,0.0872,-0.088,0.005528
SBUX,-0.0467,0.0872,-0.088,0.010109
MMM,0.0272,0.0975,-0.088,0.017239
FIS,0.0156,0.0975,-0.088,0.020068
BLK,-0.0141,0.0975,-0.088,0.00887
CHTR,-0.0767,0.0975,-0.088,0.027088
CVS,-0.0214,0.0975,-0.088,0.007433
SPGI,0.024,0.0975,-0.088,0.010077
MO,-0.0267,0.0975,-0.088,0.015647
UPS,-0.0323,0.0975,-0.088,0.004711
NOW,0.0403,0.0975,-0.088,0.019515
MDLZ,-0.0262,0.0975,-0.088,0.010494
INTU,0.0002,0.0975,-0.088,0.015777
CI,-0.0105,0.0975,-0.088,0.007094
AXP,-0.0286,0.0975,-0.088,0.007243
PLD,0.0261,0.0975,-0.088,0.007019
CCI,0.0181,0.0975,-0.088,0.0163
D,-0.012,0.0975,-0.088,0.00387
BKNG,-0.0171,0.0975,-0.088,0.012312
BDX,0.0056,0.0975,-0.088,0.0084
VRTX,-0.0384,0.0975,-0.088,0.004839
CAT,-0.0169,0.0975,-0.088,0.006553
ANTM,-0.069,0.0975,-0.088,0.008811
ISRG,-0.007,0.0975,-0.088,0.009224
GS,-0.0287,0.0975,-0.088,0.00568
AMD,-0.0704,0.0975,-0.0979,0.009449
TJX,-0.0253,0.0975,-0.0979,0.010346
ADP,0.017,0.0975,-0.0979,0.006983
ZTS,-0.0345,0.0975,-0.0979,0.006952
DUK,0.0036,0.0975,-0.0979,0.008881
GE,-0.0227,0.0975,-0.0979,0.014231
CME,0.0176,0.0975,-0.0979,0.01496
CL,-0.0033,0.0975,-0.0979,0.006361
EQIX,0.044,0.0975,-0.0979,0.011414
SYK,-0.0537,0.0975,-0.0979,0.011934
TGT,-0.0336,0.0975,-0.0979,0.006466
REGN,-0.0738,0.0975,-0.0979,0.00591
SO,-0.031,0.0975,-0.0979,0.005161
CB,-0.0306,0.0975,-0.0979,0.008505
FISV,0.0048,0.0975,-0.0979,0.014988
ATVI,-0.0201,0.0975,-0.0979,0.005256
MS,-0.0655,0.0975,-0.0979,0.011269
USB,-0.0647,0.0975,-0.0979,0.009162
MU,-0.0116,0.0975,-0.0979,0.010752
CSX,-0.0081,0.0975,-0.0979,0.006569
GPN,-0.013,0.0975,-0.0979,0.011878
MMC,-0.0159,0.0975,-0.0979,0.008115
TFC,-0.0537,0.0975,-0.0979,0.010142
AMAT,-0.0653,0.0975,-0.1099,0.017529
APD,-0.0394,0.0975,-0.1099,0.012128
ICE,0.0096,0.0975,-0.1099,0.012382
ILMN,0.0562,0.0975,-0.1099,0.017456
ADSK,-0.0252,0.0975,-0.1099,0.012604
BIIB,0.015,0.0975,-0.1099,0.026841
HUM,-0.0574,0.0975,-0.1099,0.009176
ECL,-0.0133,0.0975,-0.1099,0.010207
BSX,-0.0228,0.0975,-0.1099,0.009823
PNC,-0.0296,0.0975,-0.1099,0.009488
NOC,-0.0213,0.0975,-0.1099,0.010783
DE,-0.0225,0.0975,-0.1099,0.006593
ITW,-0.038,0.0975,-0.1099,0.005602
DG,-0.0657,0.0975,-0.1099,0.010186
KMB,-0.0228,0.0975,-0.1099,0.007339
COP,-0.0413,0.0975,-0.1099,0.010221
SHW,-0.0501,0.0975,-0.1099,0.011091
NEM,-0.0282,0.0975,-0.1099,0.008348
PGR,-0.0669,0.0975,-0.1099,0.01019
