js_industryDT,last_,max_,_min,_stdev
ZZG_index,0.0369,0.0373,-0.0004,0.010477
A,-0.0049,0.0373,-0.0075,0.018894
AAL,-0.0268,0.0373,-0.034,0.012112
AAPL,-0.0132,0.0373,-0.034,0.010089
ABBV,0.0066,0.0373,-0.034,0.008533
ABC,0.0062,0.0373,-0.034,0.003879
ABMD,-0.0021,0.0373,-0.034,0.007522
ABT,0.0012,0.0373,-0.034,0.004764
ACN,-0.0006,0.0373,-0.034,0.002138
ADBE,0.0039,0.0373,-0.034,0.003055
ADI,-0.0094,0.0373,-0.034,0.005194
ADM,0.0009,0.0373,-0.034,0.005364
ADP,0.0017,0.0373,-0.034,0.001971
ADS,0.0172,0.0373,-0.034,0.006061
ADSK,-0.0103,0.0373,-0.034,0.010534
AEE,0.0024,0.0373,-0.034,0.007285
AEP,0.0013,0.0373,-0.034,0.002889
AES,-0.0014,0.0373,-0.034,0.002589
AFL,0.0155,0.0373,-0.034,0.00808
AGN,0.0,0.0373,-0.034,0.007478
AIG,0.012,0.0373,-0.034,0.004037
AIV,0.0048,0.0373,-0.034,0.006079
AIZ,0.0065,0.0373,-0.034,0.004924
AJG,-0.0015,0.0373,-0.034,0.004172
AKAM,0.0035,0.0373,-0.034,0.003753
ALB,0.0026,0.0373,-0.034,0.00289
ALGN,0.0144,0.0373,-0.034,0.006198
ALK,-0.0183,0.0373,-0.034,0.013637
ALL_,0,0.0373,-0.034,0.010113
ALLE,-0.0006,0.0373,-0.034,0.001208
ALXN,-0.0065,0.0373,-0.034,0.002945
AMAT,-0.0281,0.0373,-0.034,0.010889
AMD,-0.0505,0.0373,-0.0563,0.014989
AME,0.0129,0.0373,-0.0563,0.023534
AMGN,-0.0,0.0373,-0.0563,0.005038
AMP,0.0203,0.0373,-0.0563,0.00802
AMT,0.0046,0.0373,-0.0563,0.007976
AMZN,0.0021,0.0373,-0.0563,0.002424
ANSS,0.0007,0.0373,-0.0563,0.002833
AON,0.0077,0.0373,-0.0563,0.002846
AOS,0.0169,0.0373,-0.0563,0.004855
APA,-0.0006,0.0373,-0.0563,0.006998
APD,-0.0052,0.0373,-0.0563,0.005952
APH,-0.0108,0.0373,-0.0563,0.004094
APTV,0.0051,0.0373,-0.0563,0.006078
ARE,0.0033,0.0373,-0.0563,0.002644
ASML,-0.0061,0.0373,-0.0563,0.006919
ATO,0.0023,0.0373,-0.0563,0.008772
ATVI,0.0038,0.0373,-0.0563,0.004244
AVB,0.0063,0.0373,-0.0563,0.003344
AVGO,-0.0029,0.0373,-0.0563,0.004274
AVY,-0.003,0.0373,-0.0563,0.002847
AWK,0.0038,0.0373,-0.0563,0.004149
AXP,-0.0014,0.0373,-0.0563,0.004403
AZO,0.0109,0.0373,-0.0563,0.00485
BA,-0.0113,0.0373,-0.0563,0.010903
BAC,0.0018,0.0373,-0.0563,0.009284
BAX,-0.0045,0.0373,-0.0563,0.002411
BBY,-0.0075,0.0373,-0.0563,0.003397
BDX,-0.0021,0.0373,-0.0563,0.002755
BEN,0.0189,0.0373,-0.0563,0.009295
BF_B,0.0201,0.0373,-0.0563,0.00638
BIDU,-0.0252,0.0373,-0.0563,0.022259
BIIB,-0.02,0.0373,-0.0563,0.008529
BK,0.0097,0.0373,-0.0563,0.011611
BLK,-0.0005,0.0373,-0.0563,0.004923
BLL,0.0093,0.0373,-0.0563,0.006103
BMRN,0.0005,0.0373,-0.0563,0.005442
BMY,0.0013,0.0373,-0.0563,0.002042
BR,-0.0004,0.0373,-0.0563,0.001873
BRK_B,0.0072,0.0373,-0.0563,0.003701
BSX,0.0005,0.0373,-0.0563,0.003559
BWA,0.0237,0.0373,-0.0563,0.010481
BXP,0.0043,0.0373,-0.0563,0.010427
C,0.0037,0.0373,-0.0563,0.002768
CAG,0.037,0.0379,-0.0563,0.014409
CAH,0.0135,0.0379,-0.0563,0.010656
CAT,0.0008,0.0379,-0.0563,0.007465
CB,0.0016,0.0379,-0.0563,0.003136
CBOE,0.0133,0.0379,-0.0563,0.004513
CCI,0.0131,0.0379,-0.0563,0.004852
CCL,-0.0529,0.0379,-0.0601,0.029137
CDNS,-0.0039,0.0379,-0.0601,0.023161
CDW,-0.0068,0.0379,-0.0601,0.002966
CE,0.0145,0.0379,-0.0601,0.010005
CERN,0.0107,0.0379,-0.0601,0.004009
CF,-0.0117,0.0379,-0.0601,0.009766
CHD,0.0071,0.0379,-0.0601,0.008145
CHKP,0.009,0.0379,-0.0601,0.004638
CHRW,0.0163,0.0379,-0.0601,0.005437
CHTR,0.0082,0.0379,-0.0601,0.00506
CI,-0.0011,0.0379,-0.0601,0.003813
CINF,0.0131,0.0379,-0.0601,0.00426
CL,0.0048,0.0379,-0.0601,0.003523
